GroupID,Height
SG,163
SG,118.2
SG,88
SG,97.8
SG,91
SG,60.3
SG,127.2
SG,101
SG,112
SG,139
SG,122.5
SG,184.2
SG,118
SG,122
SG,90
SG,92.5
SG,64.6
SG,71.7
SG,91.4
SG,110.8
SG,74.1
SG,109.2
SG,98.8
SG,122.3
SG,78.5
SG,84.1
SG,96.8
SG,96
SG,76.6
SG,74.1
SG,93.2
SG,72
SG,62
SG,73
SG,63
SG,84
SG,85
SG,88
SG,71
SG,122
SG,118
SG,121
SG,115
SG,102
SG,110
SG,100
SG,166
SG,98
SG,167
SG,190
SG,185
SG,138
SG,196
SG,174
SG,93
SG,136
SG,128
SG,168
SG,112
SG,114
SG,120
SG,131.5
SG,128
SG,114
SG,120
SG,116
SG,133
SG,105
SG,103
SG,103.5
SG,110
SG,121
SG,110
SG,112
SG,114
SG,124
SG,122.2
SG,89.2
SG,125.3
SG,103.1
SG,126.9
SG,142
SG,129.1
SG,113.4
SG,177.6
SG,163