GroupID,Height,Diameter
,,
SR,144,0.063
,,
SR,133.7,0.045
,,
SR,126,0.047
,,
SR,95,0.027
,,
SR,106.5,0.031
,,
SR,142.2,0.058
,,
SR,136,0.028
,,
SR,119.5,0.038
,,
SR,104.5,0.037
,,
SR,120.3,0.039
,,
SR,139,0.056
,,
SR,95,0.047
,,
SR,106,0.032
,,
SR,120,0.044
,,
SR,110.5,0.035
,,
SR,112.8,0.58
,,
SR,109.7,0.34
,,
SR,124.3,0.45
,,
SR,135.5,0.59
,,
SR,104.3,0.46
,,
SR,138.7,0.52
,,
SR,130.7,0.44
,,
SR,133.6,0.42
,,
SR,106.2,0.39
,,
SR,138.9,0.59
,,
SR,94.6,0.34
,,
SR,114.2,0.51
,,
SR,147.2,0.63
,,
SR,124.5,0.53
,,
SR,122.9,0.43
,,
SR,108,0.46
,,
SR,111,0.53
,,
SR,151,0.59
,,
SR,135,0.5
,,
SR,132.5,0.49
,,
SR,111.5,0.59
,,
SR,121,0.53
,,
SR,118,0.33
,,
SR,129,0.54
,,
SR,139,0.59
,,
SR,111,0.44
,,
SR,122,0.47
,,
SR,94,0.32
,,
SR,145.5,0.57
,,
SR,113,0.41
,,
SR,106,0.34
,,
SR,104,0.22
,,
SR,78,0.22
,,
SR,117,0.47
,,
SR,110,0.49
,,
SR,124,0.58
,,
SR,118,0.37
,,
SR,108,0.33
,,
SR,114,0.34
,,
SR,113,0.38
,,
SR,109,0.46
,,
SR,108,0.34
,,
SR,98,0.42
,,
SR,159,0.37
,,
SR,114,0.36
,,
SR,98,0.42
,,
SR,90,0.47
,,
SR,130,0.52
,,
SR,158,0.37
,,
SR,94,0.38
,,
SR,108,0.34
,,
SR,114,0.36
,,
SR,108,0.37
,,
SR,117,0.47
,,
SR,91,0.33
,,
SR,159,0.37
,,
SR,98,0.43
,,
SR,109,0.32
,,
SR,118,0.44
,,
SR,110,0.4
,,
SR,134,0.69
,,
SR,68.9,0.301
,,
SR,116.7,0.456
,,
SR,96.8,0.5
,,
SR,180.4,0.803
,,
SR,153.9,0.882
,,
SR,169.1,0.721
,,
SR,126.6,0.623
,,
SR,179.2,0.733
,,
SR,131.4,0.569
,,
SR,76.2,0.569