ID,xVar,yVar
1,1,424.2195122
2,2,192.4146341
3,3,458.7560976
4,4,0
5,5,184.804878
6,6,247.9268293
7,7,0
8,8,329.6829268
9,9,365.7317073
10,10,1.195121951
11,11,317.7560976
12,12,543.0487805
13,13,247.5121951
14,14,677.6829268
15,15,217.6097561
16,16,170.5609756
17,17,181.097561
18,18,313.195122
19,19,67.70731707
20,20,321.5121951
21,21,447.3170732
22,22,0
23,23,634.3902439
24,24,365.2926829
25,25,0
26,26,176.2195122
27,27,381.0487805
28,28,219.3170732
29,29,0
30,30,394.1463415
31,31,1.048780488
32,32,410.2195122
33,33,330.804878
34,34,0
35,35,574.6585366
36,36,312.902439
37,37,430.6097561
38,38,225.2195122
39,39,0.731707317
40,40,6.682926829