FG,Comp,AGB,BGB,RSA
2,FR,424.2195122,431.5611595,560.8028
3,FRT,192.4146341,189.7829195,328.9623
1,T,458.7560976,1201.091902,848.5609
0,C,0,829.3253607,792.553
2,RT,184.804878,626.5436111,700.4591
1,R,247.9268293,486.1562459,667.8462
0,C,0,194.9824516,207.3802
1,T,329.6829268,366.567009,507.7521
2,RT,365.7317073,1414.272715,942.197
1,F,1.195121951,428.9613935,366.1049
2,FT,317.7560976,293.7735604,296.7565
1,T,543.0487805,514.7536722,667.5744
1,R,247.5121951,600.5459509,626.7923
1,T,677.6829268,374.366307,635.9515
2,FR,217.6097561,785.1293384,737.4429
2,FR,170.5609756,278.1749643,391.3018
2,RT,181.097561,782.5295723,893.4673
2,RT,313.195122,400.3639672,472.0756
2,FT,67.70731707,272.9754322,185.0794
2,FT,321.5121951,210.5810477,310.8597
3,FRT,447.3170732,1065.904069,826.3774
0,C,0,189.7829195,115.5439
2,FT,634.3902439,467.9578838,610.1971
2,FT,365.2926829,387.3651371,468.2613
1,F,0,415.9625634,552.7165
1,R,176.2195122,673.3393995,560.1999
1,T,381.0487805,1926.426622,919.114
3,FRT,219.3170732,686.3382296,750.1265
0,C,0,309.3721565,486.8155
2,FR,394.1463415,842.3241908,717.8599
1,F,1.048780488,540.7513324,845.7714
1,R,410.2195122,644.7419732,818.6835
1,R,330.804878,665.5401014,437.981
0,C,0,0,0
3,FRT,574.6585366,525.1527363,618.5707
3,FRT,312.902439,309.3721565,526.3366
2,FR,430.6097561,818.9262966,288.8985
2,RT,225.2195122,564.1492266,774.8458
1,F,0.731707317,283.3744963,539.0772
1,F,6.682926829,1502.66476,844.0117